run,tag,step,value
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,13,0.7012736797332764
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,14,0.7071079015731812
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,15,0.7102452516555786
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,16,0.7064687609672546
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,17,0.7186717391014099
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,18,0.717005729675293
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_binary_iou,19,0.7221838235855103
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,0,0.25898197293281555
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,1,0.27812355756759644
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,2,0.4211927652359009
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,3,0.4408601224422455
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,4,0.4631515145301819
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,5,0.4865577518939972
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,6,0.5069687962532043
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,7,0.5072290301322937
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,8,0.5306527018547058
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,9,0.5100838541984558
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,10,0.5452926158905029
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,11,0.5493913888931274
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,12,0.53821861743927
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,13,0.5523697137832642
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,14,0.5703961849212646
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,15,0.5816603899002075
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,16,0.5743058323860168
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,17,0.6026729941368103
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,18,0.601666271686554
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_dice_coef,19,0.6108976006507874
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,0,0.3184359669685364
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,1,0.30945637822151184
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,2,0.26378628611564636
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,3,0.25206589698791504
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,4,0.24763120710849762
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,5,0.231663316488266
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,6,0.2249869853258133
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,7,0.22240522503852844
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,8,0.21431757509708405
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,9,0.2166185826063156
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,10,0.20797406136989594
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,11,0.20289957523345947
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,12,0.2054973691701889
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,13,0.19917811453342438
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,14,0.19487382471561432
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,15,0.19655106961727142
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,16,0.19243870675563812
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,17,0.18732066452503204
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,18,0.1882871836423874
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,epoch_loss,19,0.18857480585575104
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,392,0.8601750135421753
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\validation,evaluation_accuracy_vs_iterations,784,0.8739050626754761
